school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
Central Algoma Secondary School,Public,71,5,15,10,5,0
Chapleau High School,Public,53,-7,0,10,10,0
Elliot Lake Secondary School,Public,61,-14,20,10,0,0
Korah Collegiate and Vocational School,Public,68,-6,12,7,3,0
Michipicoten High School,Public,57,1,10,10,0,0
Superior Heights Collegiate and Vocational School,Public,72,4,16,5,2,2
W C Eaket Secondary School,Public,57,-5,15,10,0,0
White Pines Collegiate and Vocational School,Public,58,6,10,5,5,5
Holy Cross Catholic Secondary School,Catholic,77,-4,7,2,5,2
Nicholson Catholic College,Catholic,86,-5,20,10,5,0
Regiopolis/Notre-Dame Catholic High School,Catholic,87,-1,14,3,9,4
St Paul Catholic Secondary School,Catholic,83,4,10,10,0,0
St Theresa Catholic Secondary School,Catholic,65,-11,12,5,2,0
Central Huron Secondary School,Public,56,-18,10,0,0,0
F E Madill Secondary School,Public,75,8,16,19,1,0
Goderich District Collegiate Institute,Public,81,4,10,10,0,0
Listowel District Secondary School,Public,77,3,8,18,14,1
Mitchell District High School,Public,94,9,10,0,0,0
South Huron District High School,Public,64,-21,10,10,0,0
St Marys D.C. & V. I. High School,Public,72,1,10,0,0,0
Bruce Peninsula District School,Public,46,-21,10,20,0,0
Georgian Bay Community School Secondary School,Public,80,-7,15,0,0,0
Grey Highlands Secondary School,Public,67,-11,11,10,2,0
John Diefenbaker Senior School,Public,74,-8,12,13,0,0
Kincardine District Secondary School,Public,70,-2,10,0,5,0
Owen Sound District Secondary School Secondary School,Public,91,17,15,6,3,1
Peninsula Shores District School,Public,81,12,15,10,0,0
Saugeen District Secondary School,Public,91,4,12,6,8,2
Walkerton District Community School,Public,70,-10,15,10,0,0
Assumption College School High School,Catholic,79,0,11,4,4,2
Holy Trinity Catholic High School,Catholic,83,-5,10,8,3,2
St John's College,Catholic,86,3,12,3,5,1
Sacred Heart High School,Catholic,80,-3,11,9,3,1
St Mary's High School,Catholic,63,-5,13,6,1,1
Holy Trinity Catholic Secondary School,Catholic,81,10,15,10,10,0
Notre Dame Catholic High School,Catholic,78,-6,8,2,3,1
St Francis Xavier Catholic High School,Catholic,58,-33,5,0,15,5
St John Catholic High School,Catholic,81,-7,20,5,5,0
St Joseph's Secondary School,Catholic,85,8,16,8,9,2
St Mary's High School,Catholic,90,-1,15,10,0,0
St Michael High School,Catholic,91,-9,5,0,5,0
St. Luke Catholic High School,Catholic,8,-23,10,0,0,0
St. Thomas Aquinas Catholic High School,Catholic,91,6,5,0,0,0
Collège français secondaire,Public,100,3,30,10,75,10
École secondaire Franco-Niagara,Public,80,-20,20,0,50,0
École secondaire Gabriel-Dumont,Public,89,-11,20,5,40,0
École secondaire Gaétan Gervais,Public,96,3,20,5,80,10
École secondaire Georges-P-Vanier,Public,83,4,25,15,70,0
École secondaire Jeunes sans frontières,Public,92,-5,15,10,75,0
École secondaire Le Caron,Public,72,-17,10,0,35,0
École secondaire Norval-Morrisseau,Public,89,-11,20,0,50,0
École secondaire Roméo Dallaire,Public,86,-14,10,5,55,5
École secondaire Ronald-Marion,Public,81,-11,20,5,75,10
École secondaire Toronto Ouest,Public,92,5,20,10,55,10
École secondaire de Lamothe-Cadillac,Public,88,-12,30,15,85,10
École secondaire Étienne-Brûlé,Public,91,4,30,10,80,10
ÉSAC Mère-Teresa,Catholic,86,-3,20,10,70,5
ÉSC Monseigneur-de-Charbonnel,Catholic,91,3,25,10,85,10
ÉSC Nouvelle-Alliance,Catholic,89,-1,10,5,50,0
ÉSC Père-René-de-Galinée,Catholic,94,-3,10,0,60,0
ÉSC Renaissance,Catholic,93,-1,11,5,57,1
ÉSC Saint-Charles-Garnier,Catholic,94,0,15,0,75,5
ÉSC Saint-Frère-André,Catholic,98,3,20,5,70,5
ÉSC Saint-Jean-de-Brébeuf,Catholic,88,-5,15,0,75,0
ÉSC Sainte-Famille,Catholic,94,-1,14,5,80,7
ÉSC Sainte-Trinité,Catholic,94,-1,10,0,75,0
École secondaire Hanmer,Public,79,-1,10,5,80,0
École secondaire Macdonald-Cartier,Public,90,5,10,0,75,0
École secondaire Renaissance,Public,57,-25,20,10,70,0
École secondaire l'Alliance,Public,100,15,20,0,80,0
École secondaire publique Echo du Nord,Public,64,-21,20,10,80,0
École secondaire publique Nipissing Ouest,Public,62,-2,20,10,80,0
École secondaire publique Odyssée,Public,56,-18,20,10,50,0
École secondaire catholique Algonquin,Catholic,82,-2,10,5,65,0
École secondaire catholique Franco-Cité,Catholic,82,-6,15,10,85,0
École secondaire catholique Embrun,Catholic,98,1,0,0,95,0
École secondaire catholique L'Escale,Catholic,95,0,9,3,95,0
École secondaire catholique La Citadelle,Catholic,83,-10,15,5,80,0
École secondaire catholique Le Relais,Catholic,81,-11,20,5,95,0
École secondaire catholique de Casselman,Catholic,86,-4,9,1,94,0
École secondaire catholique de Plantagenet,Catholic,90,-10,10,0,95,0
École secondaire catholique régionale de Hawkesbury,Catholic,90,-1,20,0,100,0
École secondaire catholique de La Vérendrye,Catholic,94,1,10,0,40,0
École catholique Nouveau Regard (Pavillon Jeunesse Nord),Catholic,78,3,0,10,80,0
École secondaire catholique Cité des Jeunes,Catholic,83,-9,15,5,90,0
École secondaire catholique Hearst,Catholic,89,-4,10,5,100,0
École secondaire catholique L'Alliance,Catholic,64,-11,20,10,80,0
École secondaire catholique Sainte-Marie,Catholic,81,-6,10,10,85,0
École secondaire catholique Thériault,Catholic,79,-11,10,8,81,0
École secondaire catholique l’Envolée du Nord,Catholic,89,8,20,0,60,0
Académie catholique Ange-Gabriel,Catholic,94,-6,20,0,40,0
École secondaire catholique Béatrice-Desloges,Catholic,92,-5,6,1,83,1
École secondaire catholique Collège catholique Franco-Ouest,Catholic,87,-5,22,8,73,12
École secondaire catholique Collège catholique Samuel-Genest,Catholic,90,-1,28,10,90,14
École secondaire catholique Franco-Cité,Catholic,86,-6,21,9,77,7
École secondaire catholique Garneau,Catholic,94,-1,6,3,83,2
École secondaire catholique Jeanne-Lajoie,Catholic,100,2,10,0,65,0
École secondaire catholique Marie-Rivier,Catholic,92,-8,10,5,60,0
École secondaire catholique Mer Bleue,Catholic,95,3,8,3,81,2
École secondaire catholique Paul-Desmarais,Catholic,96,-3,6,1,60,1
École secondaire catholique Pierre-Savard,Catholic,94,3,8,2,63,1
École secondaire catholique de l’innovation,Catholic,71,-29,10,0,80,10
Collège Notre-Dame,Catholic,90,1,15,5,85,0
École secondaire catholique Champlain,Catholic,73,-12,10,5,85,0
École secondaire catholique Jeunesse-Nord,Catholic,67,-33,20,10,30,0
École secondaire catholique Saint-Joseph,Catholic,62,-18,10,10,30,0
École secondaire catholique Trillium,Catholic,73,0,0,10,50,0
École secondaire catholique l'Horizon,Catholic,80,-4,10,0,90,0
École secondaire du Sacré-Coeur,Catholic,75,-14,15,0,80,5
École secondaire catholique E.J.Lajeunesse,Catholic,97,2,18,6,34,2
École secondaire catholique l'Essor,Catholic,84,-6,10,6,26,1
École secondaire catholique École secondaire Monseigneur-Bruyère,Catholic,92,0,20,10,50,0
École secondaire catholique École secondaire Notre-Dame,Catholic,68,-7,0,10,20,0
École secondaire catholique École secondaire Saint-François-Xavier,Catholic,96,14,20,10,30,10
École secondaire catholique École secondaire de Pain Court,Catholic,83,0,10,10,10,0
École secondaire publique De La Salle,Public,96,-2,20,6,74,5
École secondaire publique Gisèle-Lalonde,Public,92,-4,11,3,86,2
